stress_q1,stress_q2,stress_q3,stress_q4,stress_q5,scws,income,investment,country,std_income,std_investment
6,5,10,3,6,36,20.471212446466932,7.6251483720630535,Country A,NA,NA
3,3,5,3,3,40,18.12640329366921,8.916553062826637,Country A,NA,NA
9,6,7,5,6,39,11.428856189827803,7.282736939904964,Country A,NA,NA
6,8,7,7,7,36,19.239353716046192,8.778775250189375,Country A,NA,NA
5,6,4,3,1,54,12.291315634360386,5.585830456737599,Country A,NA,NA
7,6,7,3,4,42,11.911790995779107,5.0012432121438035,Country A,NA,NA
7,6,3,3,4,43,7.901055760671209,5.406882452204615,Country A,NA,NA
9,10,10,10,9,38,13.97378105195514,6.887565218148115,Country A,NA,NA
3,3,2,5,4,47,5.582647856077529,2.9368755841413865,Country A,NA,NA
6,10,4,7,6,38,16.91714554601063,9.137286226013583,Country A,NA,NA
-0,4,3,3,2,50,15.726159560281893,6.407956414897575,Country A,NA,NA
1,1,7,2,1,41,21.589710814820542,7.387444348289876,Country A,NA,NA
7,5,6,6,5,34,10.26556200790857,5.196881333112554,Country A,NA,NA
8,6,7,5,10,42,11.775162734955234,4.26189297419391,Country A,NA,NA
2,-0,1,3,3,47,21.99792188723434,10.559786221244735,Country A,NA,NA
-0,-0,4,0,-0,58,26.357759803955844,12.779444116181185,Country A,NA,NA
-0,0,0,4,0,45,19.07773213212828,7.197301899149954,Country A,NA,NA
5,8,6,6,6,38,11.601329144872468,5.0482964605345915,Country A,NA,NA
7,6,6,5,5,54,14.972147419364815,7.123959942784476,Country A,NA,NA
5,4,6,5,6,48,17.16737526392578,7.471074509905214,Country A,NA,NA
6,6,7,8,7,43,23.696292990958803,10.131769466636689,Country A,NA,NA
7,8,7,10,9,29,11.136227382003657,4.400021812635131,Country A,NA,NA
1,5,7,2,3,58,25.305473169646095,12.544980453462763,Country A,NA,NA
6,5,5,3,6,47,14.849997186075415,8.557381320252112,Country A,NA,NA
5,6,6,6,5,39,10.240619129143871,6.0117514588087735,Country A,NA,NA
7,7,7,6,7,38,15.302919125156642,7.914130576240791,Country A,NA,NA
2,1,3,2,1,50,23.165121024053065,8.006587049173737,Country A,NA,NA
3,4,0,7,4,44,17.672937030012278,8.853483553182535,Country A,NA,NA
8,5,10,5,7,33,4.037539884870101,5.362412976990832,Country A,NA,NA
4,5,5,6,6,46,17.591813990832513,6.0377648441048795,Country A,NA,NA
7,10,8,10,9,49,15.047561637682305,11.10485552555002,Country A,NA,NA
7,6,7,6,8,38,5.527468574303883,3.897192418493598,Country A,NA,NA
9,6,9,5,9,34,-1.3703889235179147,0.3667443069247103,Country A,NA,NA
10,10,9,10,7,36,10.136720814277798,8.04755582247034,Country A,NA,NA
3,0,5,3,1,44,20.589546291953543,10.28166735965408,Country A,NA,NA
4,1,4,2,2,42,19.161712052885377,6.812387766583101,Country A,NA,NA
7,9,5,5,4,31,3.440138415161556,2.5851702190078374,Country A,NA,NA
0,2,4,6,5,48,21.04728102927301,12.04852124205355,Country A,NA,NA
3,0,1,3,2,51,26.557511460842996,8.363892131727864,Country A,NA,NA
2,5,6,6,8,43,14.018989686624554,8.406850237391083,Country A,NA,NA
9,7,5,6,6,46,13.624064379167505,6.084804217642305,Country A,NA,NA
7,6,6,8,8,38,2.831987109369919,0.6765269581688447,Country A,NA,NA
10,9,7,9,9,28,13.34842219864331,7.043735380791432,Country A,NA,NA
6,5,3,6,8,31,2.1856719558087256,1.9838544476327842,Country A,NA,NA
9,9,5,5,10,37,12.186450099910351,6.734615672373656,Country A,NA,NA
10,10,10,8,9,33,7.054865551506543,3.6354171346470343,Country A,NA,NA
10,9,8,9,9,31,0.8988691260597825,3.9051045031961147,Country A,NA,NA
2,5,2,4,4,42,10.49654185515443,4.528033405442931,Country A,NA,NA
2,2,4,4,5,51,20.801995806296784,10.046929926315274,Country A,NA,NA
3,0,2,1,3,42,18.89754148266068,9.850576051799791,Country A,NA,NA
6,8,6,6,6,42,9.607865471894666,5.55999372605599,Country A,NA,NA
5,5,8,7,7,28,7.159102253988303,2.790790870871284,Country A,NA,NA
5,9,8,8,9,28,15.74925698970887,7.24863427670429,Country A,NA,NA
2,5,0,2,2,51,24.1227434665695,12.99287335116667,Country A,NA,NA
1,0,2,0,0,54,17.882414680583786,8.817225536290358,Country A,NA,NA
7,6,8,5,8,42,9.468007630609502,2.8112178220681274,Country A,NA,NA
0,0,2,0,0,48,18.661836992038715,7.7388181583739595,Country A,NA,NA
3,3,6,3,4,50,16.104620498391387,8.434397539184815,Country A,NA,NA
4,-0,6,3,4,49,16.93989134327469,8.650650524059397,Country A,NA,NA
5,8,1,5,6,40,14.687877026514755,3.233682731703558,Country A,NA,NA
3,-0,1,4,3,49,14.005524889091138,10.30421785857059,Country A,NA,NA
4,10,1,6,5,31,11.806562392967631,3.803090613349821,Country A,NA,NA
0,-0,0,3,2,55,12.290085199077469,5.567029740109446,Country A,NA,NA
4,4,4,1,1,43,13.044455411924101,4.619615125036198,Country A,NA,NA
3,6,2,7,6,45,17.86005712506599,11.294221257572538,Country A,NA,NA
6,6,5,5,6,37,11.620310873834505,8.0955298409625,Country A,NA,NA
2,2,2,0,3,58,24.970710759116017,11.172166184526542,Country A,NA,NA
7,9,6,7,7,41,16.694513106826765,10.70854463155079,Country A,NA,NA
5,5,6,4,7,33,8.61977566239414,-1.1249897413722536,Country A,NA,NA
10,9,7,7,9,33,11.529689387431812,7.908800691507156,Country A,NA,NA
3,5,6,1,5,55,26.70625834936788,13.318931674160499,Country A,NA,NA
1,2,4,3,1,49,16.04045431882875,9.148831581840106,Country A,NA,NA
5,5,6,4,3,47,14.25708072419277,7.023038987455776,Country A,NA,NA
7,8,9,6,7,42,19.978162018698804,8.063185919685733,Country A,NA,NA
7,4,7,7,8,41,7.114621959033657,2.684432176777996,Country A,NA,NA
6,6,6,8,8,44,12.138383499690988,6.317873335899959,Country A,NA,NA
6,3,6,3,4,52,19.68237030696489,10.699178027162974,Country A,NA,NA
4,5,4,4,3,52,20.237148916681278,8.227586367410721,Country A,NA,NA
8,7,3,8,8,38,6.498663207572475,3.1294193995017423,Country A,NA,NA
8,7,10,9,10,35,9.03589561227143,7.062542878954686,Country A,NA,NA
8,8,10,8,9,39,13.282344730828054,8.939644497111688,Country A,NA,NA
10,10,10,6,10,35,19.149874181446066,12.42663641915981,Country A,NA,NA
8,10,9,8,8,38,7.820193657247762,4.1553509243320885,Country A,NA,NA
0,0,0,1,0,56,23.428732765581213,11.012369586168422,Country A,NA,NA
5,0,1,2,4,43,15.696424997715173,4.383656018804223,Country A,NA,NA
6,6,6,4,1,43,16.928612601481177,9.085297681007352,Country A,NA,NA
1,0,2,0,2,48,15.158366424292279,5.69352941440826,Country A,NA,NA
5,8,3,7,5,44,15.139284770642098,8.28239009401397,Country A,NA,NA
4,5,2,4,3,47,15.994804753794432,7.104994756807775,Country A,NA,NA
4,4,4,6,7,39,15.313733528141332,8.403147888834745,Country A,NA,NA
5,3,4,7,7,49,14.460444115475953,6.540358275627407,Country A,NA,NA
-0,0,2,-0,0,50,13.974949810825654,5.041209828805005,Country A,NA,NA
7,6,9,4,5,45,10.089979704067943,4.352816401399963,Country A,NA,NA
9,9,8,9,10,39,7.699715156077479,5.405703466951866,Country A,NA,NA
4,9,1,4,3,56,17.61275362747795,11.671376905716524,Country A,NA,NA
3,4,3,2,1,35,17.405372403461204,7.09089417100974,Country A,NA,NA
-0,-0,3,2,1,53,20.579009454795163,10.406748521078658,Country A,NA,NA
5,7,5,7,8,47,12.279527463104284,8.530401284340348,Country A,NA,NA
5,6,3,4,4,38,6.281269152216925,3.1080561585754998,Country A,NA,NA
2,4,1,3,5,37,14.020957984105777,3.7865456492321083,Country A,NA,NA
4,6,4,3,4,56,19.108713104574477,7.682244305759353,Country A,NA,NA
6,5,5,4,3,58,19.01812243095231,11.344046581022047,Country A,NA,NA
4,6,7,2,5,56,24.354975584306864,15.207708594694799,Country A,NA,NA
4,5,5,2,3,44,23.950038640760486,11.448086886675071,Country A,NA,NA
6,4,4,5,4,38,19.075767452675663,10.20220371858133,Country A,NA,NA
4,10,4,6,5,48,21.865718048931903,9.282924455137353,Country A,NA,NA
5,7,5,5,7,48,15.691395549393883,5.281255843965907,Country A,NA,NA
9,8,6,5,8,38,12.899049745087916,7.955171987763922,Country A,NA,NA
6,6,6,7,6,36,19.922849818436738,9.804650197429744,Country A,NA,NA
6,3,8,0,3,50,11.89246208768049,8.02385050356205,Country A,NA,NA
7,7,10,4,6,48,9.668594800888872,5.154448027464175,Country A,NA,NA
5,3,3,4,7,36,16.735519287455002,3.921226359966335,Country A,NA,NA
4,4,6,6,5,51,11.165240422249495,4.49312008020076,Country A,NA,NA
1,2,2,4,2,48,21.484755205696853,12.250364077105278,Country A,NA,NA
6,9,7,9,10,45,17.223778666227226,9.42331113637509,Country A,NA,NA
2,5,5,4,3,57,24.543852045053264,18.14468025825033,Country A,NA,NA
5,6,7,5,4,48,18.580983763409822,7.2460382888853685,Country A,NA,NA
5,8,5,5,6,37,8.65265478070726,4.842737033590968,Country A,NA,NA
10,9,10,8,10,49,10.389528823450956,6.523393869570915,Country A,NA,NA
5,2,6,6,4,47,15.83275150458596,8.78321965868847,Country A,NA,NA
5,6,4,6,6,48,14.195896978725678,9.31061538152181,Country A,NA,NA
5,4,4,5,3,39,17.181622538106097,6.226533438163312,Country A,NA,NA
10,10,10,10,10,38,8.534300379159156,7.423234761947324,Country A,NA,NA
10,10,10,10,7,24,9.998777366620052,6.996885789764831,Country A,NA,NA
0,0,0,0,0,49,21.479625554876275,7.3322509226368,Country A,NA,NA
1,2,3,3,5,35,17.01461320405679,4.379726968922965,Country A,NA,NA
6,4,9,4,5,34,11.403871615445484,6.012068167076709,Country A,NA,NA
10,6,5,2,6,44,18.0951229663296,10.44923743668684,Country A,NA,NA
5,3,3,4,6,45,21.305609081294755,12.857277005220812,Country A,NA,NA
3,4,7,2,3,46,20.7760896580922,7.188435584896395,Country A,NA,NA
2,5,3,4,3,50,21.700923589923008,10.179389910843632,Country A,NA,NA
3,3,3,1,2,48,14.765507050362215,8.729585030002436,Country A,NA,NA
10,10,9,10,10,36,4.100207647471295,6.852848415809381,Country A,NA,NA
4,5,7,2,5,40,11.473240475286387,3.748411387166361,Country A,NA,NA
2,5,4,9,6,37,13.22521514389513,4.664043740417368,Country A,NA,NA
5,6,3,5,3,49,20.60462459636107,10.240756124270831,Country A,NA,NA
6,5,5,5,4,40,12.466050632540806,4.753690634733564,Country A,NA,NA
7,3,6,3,4,45,10.267954639267977,5.761317481422533,Country A,NA,NA
2,2,4,2,3,49,10.386212163900534,6.31842154397447,Country A,NA,NA
7,9,10,7,6,40,7.308083415002631,5.016604576913138,Country A,NA,NA
3,3,0,3,2,47,23.492046806851363,10.506199993262417,Country A,NA,NA
3,3,5,5,3,40,16.661253849614997,9.71835484608654,Country A,NA,NA
10,7,5,8,10,27,11.089834761199722,6.80603566180223,Country A,NA,NA
4,5,4,3,5,42,13.893941929633275,5.287159364131064,Country A,NA,NA
5,4,3,0,4,54,20.829577654813583,10.620100927791079,Country A,NA,NA
6,3,4,7,4,43,14.651447147929673,8.258208475554866,Country A,NA,NA
2,2,2,1,3,51,19.692583566877815,7.1508028975838664,Country A,NA,NA
5,2,5,3,2,44,18.302498934436727,8.817479440127295,Country A,NA,NA
7,6,7,7,7,38,12.320604289123393,6.35300349228882,Country A,NA,NA
3,5,6,4,6,39,16.300966100185132,7.516969399225257,Country A,NA,NA
6,5,8,3,4,46,13.423451448111763,7.079220897661566,Country A,NA,NA
4,2,5,6,3,55,23.161253223202557,10.811902323581622,Country A,NA,NA
1,3,4,1,4,51,27.24635683784451,14.285748764897079,Country A,NA,NA
8,8,10,8,9,36,10.158208929114634,3.5253461919881817,Country A,NA,NA
3,5,0,1,3,48,22.731517550619245,8.231494753803599,Country A,NA,NA
4,8,2,4,5,58,17.996199789974064,9.239507078432386,Country A,NA,NA
9,7,7,6,9,49,18.677121487742536,8.924085645334369,Country A,NA,NA
10,10,10,10,10,42,5.201724829786238,7.824319250166912,Country A,NA,NA
4,6,6,7,6,38,15.187728942994891,5.3223802806000595,Country A,NA,NA
0,0,0,1,0,59,28.892637991878235,13.039769601863785,Country A,NA,NA
1,1,1,0,1,47,14.818349740413703,5.882615551528485,Country A,NA,NA
8,10,10,10,9,43,6.422415605441422,4.104804212506453,Country A,NA,NA
9,9,5,8,8,42,8.954465814975539,1.6938497321226826,Country A,NA,NA
3,9,8,6,6,45,18.513903944852476,9.263819516056635,Country A,NA,NA
5,5,7,4,5,51,21.573723466363415,9.074063859959082,Country A,NA,NA
9,10,6,7,9,38,14.584040142315825,8.120049481386795,Country A,NA,NA
1,2,1,1,0,44,14.919530079671462,6.701433561384412,Country A,NA,NA
10,10,10,9,10,35,7.121675013939601,2.0416994636742176,Country A,NA,NA
0,1,0,1,1,52,14.925249980362569,4.261965448980343,Country A,NA,NA
5,5,5,7,6,42,21.24743332010597,9.074582799038165,Country A,NA,NA
7,6,9,7,9,35,12.74726134118368,5.354584267468773,Country A,NA,NA
6,8,6,5,3,50,14.120989313711219,7.769655370764307,Country A,NA,NA
10,8,9,10,8,49,15.511644504558383,9.821925432024553,Country A,NA,NA
2,5,5,2,3,49,10.114222145058578,3.8061374441067164,Country A,NA,NA
2,0,5,3,4,52,18.2046503631512,8.330965114355779,Country A,NA,NA
6,4,5,6,8,40,14.734453379480351,5.664330125165174,Country A,NA,NA
3,4,4,5,1,55,17.912249368222252,8.328161995737466,Country A,NA,NA
5,3,7,3,3,41,14.006762052730846,3.954184359333202,Country A,NA,NA
7,6,6,7,6,41,13.163247827392203,3.7080634834873805,Country A,NA,NA
7,7,4,10,6,37,6.682401233636758,0.41467706174091745,Country A,NA,NA
3,1,0,5,4,44,15.967068199721517,10.107149903369358,Country A,NA,NA
5,5,4,6,6,54,18.506210537075447,8.978738466388428,Country A,NA,NA
0,1,3,0,1,50,28.829976687043285,13.881258534372781,Country A,NA,NA
8,7,7,8,7,37,11.95759685161694,5.452089387086916,Country A,NA,NA
9,9,8,8,9,39,15.875956457167502,8.823882841357017,Country A,NA,NA
6,6,5,7,5,47,10.976561388824322,8.13771047092207,Country A,NA,NA
5,3,6,2,2,51,19.818669543159157,6.563080086523122,Country A,NA,NA
4,9,8,8,3,43,17.41159586065089,8.995800411348432,Country A,NA,NA
7,10,7,6,5,32,14.986530097586652,6.535527140673829,Country A,NA,NA
9,6,9,8,8,38,15.114669700154122,7.157787838964962,Country A,NA,NA
5,7,5,6,5,39,17.543771200261073,9.58620955625073,Country A,NA,NA
8,10,7,7,7,26,6.823497722355654,7.19682249767038,Country A,NA,NA
3,4,3,3,4,50,18.41061791454079,5.033423726731306,Country A,NA,NA
8,6,7,8,10,38,10.004535347373313,9.389951604760503,Country A,NA,NA
5,5,5,3,5,37,16.70960725126123,7.612889024222815,Country A,NA,NA
4,3,3,0,3,48,24.162916062322317,10.399463055593218,Country A,NA,NA
5,5,7,5,4,49,6.22487770353167,4.817333710099568,Country A,NA,NA
5,6,5,1,5,52,20.71078241126511,10.551740713919962,Country A,NA,NA
0,0,-0,1,0,50,29.243678103052144,13.038471285449159,Country A,NA,NA
10,6,9,8,9,28,8.087262023950885,5.189561297343089,Country A,NA,NA
8,7,8,9,8,35,8.900630587171023,2.7686754494135677,Country A,NA,NA
6,3,2,5,4,51,20.072269424918524,7.332166109731871,Country A,NA,NA
10,10,8,10,7,37,9.959188038346113,4.965001347084307,Country A,NA,NA
4,5,5,3,6,44,19.793009415730243,11.624368093423602,Country A,NA,NA
1,4,1,2,-0,50,18.503919031366067,7.95821361180782,Country A,NA,NA
5,3,6,9,8,42,15.89284366701624,4.706156978864754,Country A,NA,NA
9,3,8,4,5,31,13.032418384090668,4.873444560324442,Country A,NA,NA
6,8,6,6,2,46,10.414420828249517,8.046918970692783,Country A,NA,NA
9,6,6,8,8,42,10.504967667235153,5.430987559913455,Country A,NA,NA
5,6,2,6,5,44,12.529949857450251,8.157659563663833,Country A,NA,NA
0,6,4,0,0,58,26.07832656724682,9.793874811285846,Country A,NA,NA
1,2,5,4,2,52,12.754684169476077,5.727613611515338,Country A,NA,NA
5,3,5,2,5,45,12.315445941430784,4.70649883763682,Country A,NA,NA
7,10,7,6,6,34,7.3770001757842145,4.225404065462045,Country A,NA,NA
5,5,8,5,7,41,14.993562643925626,9.9811667319136,Country A,NA,NA
8,8,5,8,7,35,18.890224811058534,13.591996353544419,Country A,NA,NA
5,8,4,4,4,43,19.901590544464117,7.876798549885766,Country A,NA,NA
1,2,5,3,5,57,22.95427878896124,8.939955567306058,Country A,NA,NA
4,5,5,4,4,47,17.481940740436755,6.192155487960264,Country A,NA,NA
6,6,8,8,5,34,6.432877168517791,3.5664052096717453,Country A,NA,NA
2,2,5,7,4,43,14.879424636850125,5.255263884469597,Country A,NA,NA
0,0,0,3,3,57,27.080939324023348,15.570954989127461,Country A,NA,NA
6,4,5,3,4,51,18.291547868121768,7.610651202949503,Country A,NA,NA
9,5,6,4,4,42,5.417897893748627,0.8860923807600063,Country A,NA,NA
5,6,6,7,6,46,15.518088020376968,6.423777923642343,Country A,NA,NA
3,0,1,-0,0,45,19.71974720084151,3.5641438397895566,Country A,NA,NA
4,4,7,6,5,47,13.423415487109313,5.266493770504352,Country A,NA,NA
10,8,8,10,10,50,14.094838199082496,10.72696603096405,Country A,NA,NA
0,1,4,1,4,52,21.385552792035057,11.571149763831194,Country A,NA,NA
7,7,5,7,6,42,13.8886808675772,4.565147259334367,Country A,NA,NA
5,4,3,5,-0,50,10.892027269296193,7.614727653993638,Country A,NA,NA
3,7,3,2,7,52,18.789440626124623,13.21405088132663,Country A,NA,NA
7,8,10,10,8,40,12.453288880675089,5.461074788412141,Country A,NA,NA
4,1,9,4,6,54,14.23655035878699,7.517539208889947,Country A,NA,NA
4,5,6,6,4,48,24.298761887602776,9.811235977876173,Country A,NA,NA
0,0,1,0,0,44,25.560751208635914,5.495570439308729,Country A,NA,NA
4,6,3,6,4,46,13.652262946808287,6.372353179972183,Country A,NA,NA
0,1,2,1,1,57,25.781222309652506,9.858101866692337,Country A,NA,NA
2,5,1,3,2,51,15.943619856276396,5.186308967033911,Country A,NA,NA
2,3,1,-0,4,53,18.338852202541165,7.133520356265765,Country A,NA,NA
3,5,4,7,6,48,20.56894549291028,10.000996320487095,Country A,NA,NA
4,0,1,6,4,53,12.511577004488675,6.6517334360946565,Country A,NA,NA
3,6,3,5,4,41,16.088913432164862,8.553407424686188,Country A,NA,NA
1,2,7,7,3,37,13.47065812257815,7.468673363959278,Country A,NA,NA
5,4,10,4,4,41,12.914977403990187,5.669028020833684,Country A,NA,NA
3,2,3,3,2,51,20.060959122743164,9.740636035030652,Country A,NA,NA
1,2,-0,2,2,44,8.561600340245443,-4.062670464599796,Country A,NA,NA
9,4,7,7,8,48,14.496770873507518,7.001644456315923,Country A,NA,NA
3,3,5,5,3,51,9.971430339576512,7.557599743747518,Country A,NA,NA
3,4,9,7,4,33,10.36379497130677,5.8973886932636645,Country A,NA,NA
0,-0,5,4,2,54,22.40144834638947,6.9292146573582984,Country A,NA,NA
8,7,7,8,7,35,11.08978495054624,4.651078472680208,Country A,NA,NA
6,6,9,8,5,49,13.277943869021717,7.687039564762567,Country A,NA,NA
6,4,4,8,6,39,12.9417996729227,6.0884874253148595,Country A,NA,NA
0,2,0,0,0,54,24.714385953777253,12.738397009435502,Country A,NA,NA
6,10,3,5,5,49,25.706907741339887,13.492709909158707,Country A,NA,NA
5,3,2,5,2,42,11.177192938546355,5.077615797803832,Country A,NA,NA
7,8,7,4,7,46,12.153486834664221,5.3386889749140085,Country A,NA,NA
3,8,5,6,2,48,12.347023158279043,6.977787116445334,Country A,NA,NA
5,4,3,7,4,52,21.694023075074384,11.821395977526333,Country A,NA,NA
4,6,3,7,5,55,15.916099629187594,7.209251227266846,Country A,NA,NA
10,10,10,10,10,23,-1.321442294704326,0.5002709468354922,Country A,NA,NA
5,4,3,5,5,51,16.53220624169646,11.403452090616856,Country A,NA,NA
4,4,4,3,6,43,14.076742111360282,6.693751819488709,Country A,NA,NA
6,10,4,9,5,46,17.76993644723984,11.712465570143868,Country A,NA,NA
8,6,7,9,9,38,6.175636626761985,5.812753848026523,Country A,NA,NA
10,10,8,8,9,31,1.9463220857018335,0.13405288377575175,Country A,NA,NA
7,10,8,9,7,34,10.727301276245939,5.060039703220892,Country A,NA,NA
9,5,4,6,6,35,10.153164994047401,4.53608040634749,Country A,NA,NA
2,5,3,4,4,52,26.040120129429578,12.655236619155389,Country A,NA,NA
5,2,7,6,4,43,17.73703634488524,10.626238713739774,Country A,NA,NA
4,7,5,3,1,48,18.60631235016076,9.973056631652344,Country A,NA,NA
10,10,10,9,10,31,11.854529299598786,4.515896230239159,Country A,NA,NA
7,4,10,5,4,42,9.522456024047276,5.124264972669282,Country A,NA,NA
5,7,6,6,8,34,11.78483613816331,4.922493214175575,Country A,NA,NA
2,5,6,5,4,43,14.610276135655203,2.769221762931605,Country A,NA,NA
8,5,3,5,7,45,11.782832891738016,5.006891891281618,Country A,NA,NA
9,7,5,10,8,44,0.8711018833777917,2.456266470840051,Country A,NA,NA
4,6,5,7,4,43,25.281316386762004,11.19263023300062,Country A,NA,NA
3,6,3,5,5,43,13.182899297618846,4.211929708136441,Country A,NA,NA
8,10,10,9,8,43,14.616359989407453,11.169200411113701,Country A,NA,NA
4,2,5,4,7,40,4.722434279997469,0.6577098976821336,Country A,NA,NA
9,10,10,6,9,40,10.026921940480998,3.4965638769619876,Country A,NA,NA
3,4,4,3,3,46,18.25369119763142,8.45129255279632,Country A,NA,NA
7,6,8,7,6,45,9.52269706357742,6.968983749246019,Country A,NA,NA
3,3,5,5,4,48,22.312051931485506,10.23849150450527,Country A,NA,NA
3,5,2,3,2,45,16.308169885446897,6.748663692046197,Country A,NA,NA
10,9,9,8,9,34,11.626698168672341,9.617221838475466,Country A,NA,NA
10,9,10,10,9,47,12.094483229453841,9.549118992421775,Country A,NA,NA
9,9,10,10,10,31,10.261978608497081,5.789416501413637,Country A,NA,NA
3,1,3,-0,3,50,15.588835166960793,5.184627607807926,Country A,NA,NA
8,8,10,7,10,46,13.220409689813824,9.471797808145734,Country A,NA,NA
0,0,3,4,3,51,11.191973677405896,3.2919603896648253,Country A,NA,NA
6,7,8,6,3,45,10.054752003714135,5.972892082865091,Country A,NA,NA
5,6,3,5,3,54,23.966524484156988,11.008418724080252,Country A,NA,NA
7,6,8,10,7,40,18.88995082912566,10.31855783278858,Country A,NA,NA
5,3,5,2,5,36,12.216313405897731,7.8822416316993875,Country A,NA,NA
